matrix_case_id,matrix_section,representative_pdf_url,title_or_source,why_it_fits,license_note
M-§1-text-body,§1 type text (text_level 0/absent),https://arxiv.org/pdf/1706.03762.pdf,Attention Is All You Need (arXiv:1706.03762),Dense body paragraphs and abstract; baseline for type:text.,arXiv non-exclusive license to distribute; check arXiv license page per article.
M-§2-text_level-1-3,§2 text_level 1–3+ on headings,https://arxiv.org/pdf/1706.03762.pdf,Same,Numbered sections (1 Introduction; 2 Background; 3 Model Architecture; 3.1; 3.2.1 …); grep content_list for text_level ≥ 2.,Same as above.
M-§1-table,§1 type table + §4 table_*,https://arxiv.org/pdf/1706.03762.pdf,Same,Multiple tables with captions; exercises table_body / caption / footnote paths.,Same as above.
M-§1-image,§1 type image + §4 image_caption,https://arxiv.org/pdf/1706.03762.pdf,Same,Figures with captions; typical figure layout.,Same as above.
M-§1-equation,§1 type equation,https://arxiv.org/pdf/1706.03762.pdf,Same,Displayed equations and inline math; equation vs text blocks.,Same as above.
M-§1-chart,§1 type chart (backend-dependent),https://arxiv.org/pdf/1706.03762.pdf,Same,Architecture diagrams; whether type:chart appears depends on backend—validate.,Same as above.
M-§3-code-algorithm,§3 sub_type code vs algorithm,https://raw.githubusercontent.com/nezha34/gnosis-ingestion-corpus/main/files/pdf/code/arxiv_2207_09238_formal_algorithms_for_transformers.pdf,Formal Algorithms for Transformers (arXiv:2207.09238),Dense algorithms + math; code vs algorithm sub_type if backend distinguishes.,CC BY 4.0 (source arXiv article; mirrored in corpus fixture).
M-§3-list-refs,§3 list sub_type ref_text,https://arxiv.org/pdf/1911.02782.pdf,S2ORC paper (arXiv:1911.02782),Reference list at end; bibliography-style lists (ref_text) if MinerU tags them.,arXiv license.
M-§1-list-ordinary,§3 list sub_type text,https://arxiv.org/pdf/1911.02782.pdf,Same,Bulleted structure where present; ordinary list sub_type.,Same as above.
M-PMC-OA-biomed,§1–§4 full journal layout,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4006221/pdf/,PLOS ONE–style OA on PMC (PMC4006221),Two-column biomedical layout with figures/tables/refs.,CC-BY-style OA; confirm on article page.
M-gov-report-layout,§2 reading order / complex report,https://www.govinfo.gov/content/pkg/GPO-CDOC-119sdoc3/pdf/GPO-CDOC-119sdoc3.pdf,GovInfo congressional document (GPO),Dense government report; headers; reading-order stress vs arXiv two-column.,US government work (public domain); verify URL on GovInfo if it moves.
M-page-furniture,§1 header/footer/page_number/aside_text,https://arxiv.org/pdf/1706.03762.pdf,Attention paper,Running heads / page numbers; discarded blocks pipeline vs VLM.,Same as arXiv row.
M-§1-seal-rare,§1 type seal,,(not linked — rare in English OA),Seal type is uncommon in Western OA PDFs; add locale-specific fixture or WAI.,N/A
M-layout-3col-ctan-multicol,§2 / layout — multi-column (incl. 3-col),https://mirrors.ctan.org/macros/latex/contrib/tools/multicol.pdf,CTAN: LaTeX multicol package documentation,Demonstrates two- and three-column body text in the same PDF; strong Pass 1 reading-order / column-order stress.,LPPL (LaTeX Project Public License); CTAN redistribution terms.
M-layout-3col-newspaper-or-magazine,§2 / layout — 3+ columns (native PDF),https://upload.wikimedia.org/wikipedia/commons/8/86/Freedom%27s_Journal_First_Issue.pdf,Freedom's Journal first issue (1827) on Wikimedia Commons,Historic US newspaper layout: multiple narrow columns per page (real newsprint; OCR + reading-order stress). Not LaTeX; complements CTAN multicol.pdf.,Public domain (US); Wikimedia Commons file page lists details.
M-layout-2col-acm-style-alt,§1–§2 alternate two-column CS paper,https://arxiv.org/pdf/2302.13971.pdf,Llama 2 (arXiv:2302.13971),Different paper than Attention; typical NeurIPS-style two-column layout + appendix.,arXiv license.
M-layout-2col-long-context,§1 dense multi-section,https://arxiv.org/pdf/2005.14165.pdf,GPT-3 (arXiv:2005.14165),Very long two-column PDF; many sections and tables; stress on continuity and headings.,arXiv license.
M-layout-nist-hierarchical,§2 structure + tables + multi-level headings,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf,NIST SP 800-53 Rev. 5,Large US-government spec: nested sections; dense tables; appendices; different visual grammar than CS papers.,US government work (check NIST redistribution notice on publication page).
M-layout-eu-policy-multicol,§2 policy PDF / possible mixed columns,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1542,Regulation (EU) 2023/1542 (batteries) — EUR-Lex PDF,Official Journal–style EU regulation PDF; dense legal layout and article numbering; multi-column OJ pages typical. CELEX stable identifier.,Reuse per EUR-Lex terms; not for commercial republishing without checking current policy.
M-layout-uneven-multicolumn-ocr,§2 uneven columns + OCR,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531190/pdf/,PMC OA PDF (PMC3531190),Second PMC layout variant; compare with PMC4006221 for column and OCR differences.,Confirm OA license on PMC article page.
M-layout-scanned-multicolumn-stress,§2 OCR + columns,(use gnosis-ingestion-corpus),files/pdf/ocr from ingestion corpus e.g. uneven_multicolumn_reading_order.pdf,Aligns with existing corpus OCR/column stress files; run MinerU locally and pin path.,Same as corpus repo license for those files.
M-layout-wide-figure-spanning,§1 figures spanning column width,https://arxiv.org/pdf/2104.09864.pdf,LayoutLMv3 (arXiv:2104.09864),Layout-heavy ML paper with wide figures/tables; often stresses column breaks.,arXiv license.
M-layout-appendix-supplementary,§2 back matter / appendix flow,https://arxiv.org/pdf/2302.13971.pdf,Llama 2 (same PDF),Appendix and long back sections; different block order vs main body.,arXiv license.
M-layout-gov-second-sample,§2 legislative / dense layout,,(TBD — second GovInfo PDF from govinfo.gov browse),"Different GPO layout than GPO-CDOC-119sdoc3; pick another bill/FR/GPO package PDF and pin URL; multi-column pages common in Federal Register.",US government work when sourced from GovInfo.
M-layout-footnote-heavy-academic,§1 page_footnote / aside,https://arxiv.org/pdf/2303.08774.pdf,GPT-4 Technical Report (arXiv:2303.08774),Long report; many footnotes and endnotes-style blocks; margin/aside stress.,arXiv license.
M-layout-landscape-or-rotated-page,§2 orientation stress,https://mirrors.ctan.org/macros/latex/contrib/beamer/doc/beameruserguide.pdf,CTAN: beamer user guide (LaTeX),Many landscape slides and mixed aspect ratios; stresses page boxes and rotation vs standard arXiv two-column PDFs.,LPPL; CTAN redistribution terms.
M-layout-patent-uspto-grid,§2 patent layout (figures + dense text),https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10000000,US patent 10,000,000 (USPTO image-ppubs),Classic patent grid: columns of text; embedded drawings; different from academic papers. USPTO direct PDF pattern (≤1000 pages).,US government patent document; confirm number opens in Patent Public Search if link format changes.
M-layout-irs-form-grid,§2 government form / boxes,https://www.irs.gov/pub/irs-pdf/f1040.pdf,IRS Form 1040 (current pub),Checkbox and box grid layout; labels in small regions; strong non-narrative structure vs prose PDFs.,US IRS public form; use current-year URL from irs.gov/forms if this path is updated.
M-layout-table-spans-columns,§1 table + §2 layout,https://arxiv.org/pdf/1706.03762.pdf,Attention paper,Wide tables that may span columns in PDF; compare with borderless table fixtures in ingestion corpus.,arXiv license.
M-layout-mixed-digital-scan-pages,§2 mixed quality,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4006221/pdf/,PMC example,If you have mixed digital+scan in corpus use that; else PMC single-mode for baseline.,PMC OA license.
M-layout-sidebar-margin-notes,§2 margin notes / sidenotes,https://mirrors.ctan.org/macros/latex/contrib/tufte-latex/sample-handout.pdf,CTAN: Tufte-LaTeX sample handout,Tufte-style layout with margin notes and sidenotes; targets aside_text / margin callout behavior vs pure two-column paper.,LPPL; CTAN redistribution terms.
M-layout-sidebar-magazine-style,§2 commercial magazine (optional second fixture),,(TBD — add OA magazine PDF if needed),"If Tufte sample is too synthetic add a real magazine PDF with sidebars/running elements; check publisher terms.",Per publisher; prefer CC-BY or explicit redistribution.
